adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
Alta Verapaz,,,,GT16,Guatemala,,,,GT,07/02/19,,10597.4892,v01,es,,,,Alta Verapaz,15.59558655,-90.09109722
Baja Verapaz,,,,GT15,Guatemala,,,,GT,07/02/19,,3017.990103,v01,es,,,,Baja Verapaz,15.11112607,-90.41206264
Chimaltenango,,,,GT04,Guatemala,,,,GT,07/02/19,,1864.10482,v01,es,,,,Chimaltenango,14.65656179,-90.92908161
Chiquimula,,,,GT20,Guatemala,,,,GT,07/02/19,,2415.308644,v01,es,,,,Chiquimula,14.67630947,-89.39823989
El Progreso,,,,GT02,Guatemala,,,,GT,07/02/19,,1835.270482,v01,es,,,,El Progreso,14.91061623,-90.06809328
Escuintla,,,,GT05,Guatemala,,,,GT,07/02/19,,4504.363563,v01,es,,,,Escuintla,14.19074908,-91.02750779
Guatemala,,,,GT01,Guatemala,,,,GT,07/02/19,,2205.562091,v01,es,,,,Guatemala,14.57894067,-90.45294933
Huehuetenango,,,,GT13,Guatemala,,,,GT,07/02/19,,7362.011808,v01,es,,,,Huehuetenango,15.60643774,-91.64453108
Izabal,,,,GT18,Guatemala,,,,GT,07/02/19,,7490.533807,v01,es,,,,Izabal,15.51702781,-88.72512466
Jalapa,,,,GT21,Guatemala,,,,GT,07/02/19,,2030.397955,v01,es,,,,Jalapa,14.64782866,-89.94635212
Jutiapa,,,,GT22,Guatemala,,,,GT,07/02/19,,3317.63496,v01,es,,,,Jutiapa,14.14861435,-89.89419055
Petén,,,,GT17,Guatemala,,,,GT,07/02/19,,35903.08905,v01,es,,,,Peten,16.83219875,-90.04571116
Quetzaltenango,,,,GT09,Guatemala,,,,GT,07/02/19,,2132.946482,v01,es,,,,Quetzaltenango,14.85894716,-91.59998991
Quiché,,,,GT14,Guatemala,,,,GT,07/02/19,,7278.769544,v01,es,,,,Quiche,15.4282956,-91.00758637
Retalhuleu,,,,GT11,Guatemala,,,,GT,07/02/19,,1943.758805,v01,es,,,,Retalhuleu,14.41922288,-91.82856356
Sacatepéquez,,,,GT03,Guatemala,,,,GT,07/02/19,,536.2044713,v01,es,,,,Sacatepequez,14.55029776,-90.75735894
San Marcos,,,,GT12,Guatemala,,,,GT,07/02/19,,3554.139605,v01,es,,,,San Marcos,14.95444864,-91.91189045
Santa Rosa,,,,GT06,Guatemala,,,,GT,07/02/19,,3160.701079,v01,es,,,,Santa Rosa,14.14646883,-90.35879119
Sololá,,,,GT07,Guatemala,,,,GT,07/02/19,,1167.062003,v01,es,,,,Solola,14.7076919,-91.28248851
Suchitepéquez,,,,GT10,Guatemala,,,,GT,07/02/19,,2149.925181,v01,es,,,,Suchitepequez,14.37526749,-91.36514
Totonicapán,,,,GT08,Guatemala,,,,GT,07/02/19,,1076.407159,v01,es,,,,Totonicapan,15.03754075,-91.40818841
Zacapa,,,,GT19,Guatemala,,,,GT,07/02/19,,2687.695974,v01,es,,,,Zacapa,15.01904936,-89.48344981
