ADM0_ES,ADM0_PCODE,ADM1_ES,ADM1_PCODE,ADM2_ES,ADM2_PCODE,ADM2_REF,ADM2ALT1ES,ADM2ALT2ES,x,y
Guatemala,GT,Chimaltenango,GT04,Acatenango,GT0411,Acatenango,,,-90.9563068000,14.5478258900
Guatemala,GT,Jutiapa,GT22,Agua Blanca,GT2204,Agua Blanca,,,-89.5999492000,14.4582064700
Guatemala,GT,Huehuetenango,GT13,Aguacatán,GT1327,Aguacatan,,,-91.2138433000,15.3332765000
Guatemala,GT,Quetzaltenango,GT09,Almolonga,GT0913,Almolonga,,,-91.4844863000,14.8117373200
Guatemala,GT,Sacatepéquez,GT03,Alotenango,GT0314,Alotenango,,,-90.8196746000,14.4595247800
Guatemala,GT,Guatemala,GT01,Amatitlán,GT0114,Amatitlan,,,-90.6119011000,14.4534920900
Guatemala,GT,Sacatepéquez,GT03,Antigua Guatemala,GT0301,Antigua Guatemala,,,-90.7254072000,14.5454943700
Guatemala,GT,Jutiapa,GT22,Asunción Mita,GT2205,Asuncion Mita,,,-89.6673834000,14.2989363200
Guatemala,GT,Jutiapa,GT22,Atescatempa,GT2207,Atescatempa,,,-89.7271744000,14.1750740100
Guatemala,GT,San Marcos,GT12,Ayutla,GT1217,Ayutla,,,-92.0975618000,14.7669691800
Guatemala,GT,Santa Rosa,GT06,Barberena,GT0602,Barberena,,,-90.4146612000,14.3055834800
Guatemala,GT,Huehuetenango,GT13,Barillas,GT1326,Barillas,,,-91.2210938000,15.9316522600
Guatemala,GT,Zacapa,GT19,Cabañas,GT1907,Cabanas,,,-89.7766469000,14.8850949700
Guatemala,GT,Quetzaltenango,GT09,Cabricán,GT0906,Cabrican,,,-91.6491916000,15.1039740100
Guatemala,GT,Alta Verapaz,GT16,Cahabón,GT1612,Cahabon,,,-89.8458729000,15.6111192900
Guatemala,GT,Quetzaltenango,GT09,Cajolá,GT0907,Cajola,,,-91.6129660000,14.9350754500
Guatemala,GT,Chiquimula,GT20,Camotán,GT2005,Camotan,,,-89.2786794000,14.8417225100
Guatemala,GT,Quiché,GT14,Canillá,GT1418,Canilla,,,-90.8641002000,15.1962174100
Guatemala,GT,Quetzaltenango,GT09,Cantel,GT0914,Cantel,,,-91.4396826000,14.8166478100
Guatemala,GT,Santa Rosa,GT06,Casillas,GT0604,Casillas,,,-90.1702859000,14.3743044200
Guatemala,GT,San Marcos,GT12,Catarina,GT1216,Catarina,,,-92.0700462000,14.8468527600
Guatemala,GT,Alta Verapaz,GT16,Chahal,GT1614,Chahal,,,-89.5762865000,15.7329124600
Guatemala,GT,Quiché,GT14,Chajul,GT1405,Chajul,,,-90.9927592000,15.5893251000
Guatemala,GT,Retalhuleu,GT11,Champerico,GT1107,Champerico,,,-91.8840587000,14.3488856000
Guatemala,GT,Huehuetenango,GT13,Chiantla,GT1302,Chiantla,,,-91.4079254000,15.5031262000
Guatemala,GT,Suchitepéquez,GT10,Chicacao,GT1013,Chicacao,,,-91.3068026000,14.5473397900
Guatemala,GT,Quiché,GT14,Chicamán,GT1419,Chicaman,,,-90.5763232000,15.2948578200
Guatemala,GT,Quiché,GT14,Chiché,GT1402,Chiche,,,-91.0448901000,15.0112766900
Guatemala,GT,Quiché,GT14,Chichicastenango,GT1406,Chichicastenango,,,-91.0920962000,14.8971336400
Guatemala,GT,Chimaltenango,GT04,Chimaltenango,GT0401,Chimaltenango,,,-90.8409516000,14.6775952300
Guatemala,GT,Guatemala,GT01,Chinautla,GT0106,Chinautla,,,-90.4976190000,14.7273325500
Guatemala,GT,Quiché,GT14,Chinique,GT1403,Chinique,,,-91.0220718000,15.0727035200
Guatemala,GT,Chiquimula,GT20,Chiquimula,GT2001,Chiquimula,,,-89.5790726000,14.8029972600
Guatemala,GT,Santa Rosa,GT06,Chiquimulilla,GT0608,Chiquimulilla,,,-90.3348496000,13.9729858900
Guatemala,GT,Alta Verapaz,GT16,Chisec,GT1613,Chisec,,,-90.3678300000,15.9137646700
Guatemala,GT,Guatemala,GT01,Chuarrancho,GT0112,Chuarrancho,,,-90.4724554000,14.8531756200
Guatemala,GT,Sacatepéquez,GT03,Ciudad Vieja,GT0312,Ciudad Vieja,,,-90.7735197000,14.5063866900
Guatemala,GT,Quetzaltenango,GT09,Coatepeque,GT0920,Coatepeque,,,-91.9791680000,14.6413665600
Guatemala,GT,Alta Verapaz,GT16,Cobán,GT1601,Coban,,,-90.5402778000,15.7107883300
Guatemala,GT,Quetzaltenango,GT09,Colomba,GT0917,Colomba,,,-91.7542444000,14.7077086600
Guatemala,GT,Huehuetenango,GT13,Colotenango,GT1319,Colotenango,,,-91.7112760000,15.4451629000
Guatemala,GT,Chimaltenango,GT04,Comalapa,GT0404,Comalapa,,,-90.8986695000,14.7491033000
Guatemala,GT,Jutiapa,GT22,Comapa,GT2211,Comapa,,,-89.9115195000,14.1155574400
Guatemala,GT,San Marcos,GT12,Comitancillo,GT1204,Comitancillo,,,-91.7464391000,15.1110516700
Guatemala,GT,Sololá,GT07,Concepción,GT0708,Concepcion,,,-91.1351293000,14.7822814400
Guatemala,GT,Quetzaltenango,GT09,Concepción Chiquirichapa,GT0911,Concepcion Chiquirichapa,,,-91.6196643000,14.8448492000
Guatemala,GT,Huehuetenango,GT13,Concepción Huista,GT1322,Concepcion Huista,,,-91.6405518000,15.6651504900
Guatemala,GT,Chiquimula,GT20,Concepción Las Minas,GT2008,Concepcion Las Minas,,,-89.4492598000,14.4876882000
Guatemala,GT,San Marcos,GT12,Concepción Tutuapa,GT1206,Concepcion Tutuapa,,,-91.8690469000,15.2904351800
Guatemala,GT,Jutiapa,GT22,Conguaco,GT2213,Conguaco,,,-90.0162914000,14.0099385400
Guatemala,GT,Baja Verapaz,GT15,Cubulco,GT1504,Cubulco,,,-90.6712832000,15.1553771500
Guatemala,GT,Santa Rosa,GT06,Cuilapa,GT0601,Cuilapa,,,-90.2988944000,14.2633063300
Guatemala,GT,Huehuetenango,GT13,Cuilco,GT1304,Cuilco,,,-91.9623777000,15.4651045900
Guatemala,GT,Quiché,GT14,Cunén,GT1410,Cunen,,,-91.0182003000,15.3660761000
Guatemala,GT,Suchitepéquez,GT10,Cuyotenango,GT1002,Cuyotenango,,,-91.5641005000,14.4882912500
Guatemala,GT,Petén,GT17,Dolores,GT1708,Dolores,,,-89.3598943000,16.5798425700
Guatemala,GT,Jutiapa,GT22,El Adelanto,GT2209,El Adelanto,,,-89.8530679000,14.1750332600
Guatemala,GT,Retalhuleu,GT11,El Asintal,GT1109,El Asintal,,,-91.7566239000,14.5496154600
Guatemala,GT,Petén,GT17,El Chal,GT1714,El Chal,,,-89.7337925000,16.5257412200
Guatemala,GT,Baja Verapaz,GT15,El Chol,GT1506,El Chol,,,-90.4873023000,14.9535733600
Guatemala,GT,Izabal,GT18,El Estor,GT1803,El Estor,,,-89.3630850000,15.3635840700
Guatemala,GT,El Progreso,GT02,El Jícaro,GT0205,El Jicaro,,,-89.9160082000,14.8884303700
Guatemala,GT,Quetzaltenango,GT09,El Palmar,GT0919,El Palmar,,,-91.6081609000,14.6986798100
Guatemala,GT,Jutiapa,GT22,El Progreso,GT2202,El Progreso,,,-89.8501937000,14.3788142800
Guatemala,GT,San Marcos,GT12,El Quetzal,GT1220,El Quetzal,,,-91.8053470000,14.7745777400
Guatemala,GT,San Marcos,GT12,El Rodeo,GT1214,El Rodeo,,,-91.9984928000,14.8879625900
