adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
Islas de La Bahia,,,,HN11,Honduras,,,,HN,05/10/16,,229.8279728,v01,es,,,,Islas de La Bahia,16.09638972,-86.94887693
Colon,,,,HN02,Honduras,,,,HN,05/10/16,,8278.929793,v01,es,,,,Colon,15.54983421,-85.30990334
Atlantida,,,,HN01,Honduras,,,,HN,05/10/16,,4365.761369,v01,es,,,,Atlantida,15.67455112,-87.04152086
Cortes,,,,HN05,Honduras,,,,HN,05/10/16,,3913.115907,v01,es,,,,Cortes,15.36075741,-87.99878446
Yoro,,,,HN18,Honduras,,,,HN,05/10/16,,7792.794636,v01,es,,,,Yoro,15.30056179,-87.29067189
Olancho,,,,HN15,Honduras,,,,HN,05/10/16,,24047.81788,v01,es,,,,Olancho,14.8209798,-85.95486578
Santa Barbara,,,,HN16,Honduras,,,,HN,05/10/16,,5014.698878,v01,es,,,,Santa Barbara,15.09448902,-88.36662101
Copan,,,,HN04,Honduras,,,,HN,05/10/16,,3238.887312,v01,es,,,,Copan,14.8958133,-88.9254948
Lempira,,,,HN13,Honduras,,,,HN,05/10/16,,4285.979029,v01,es,,,,Lempira,14.45561925,-88.61903712
Comayagua,,,,HN03,Honduras,,,,HN,05/10/16,,5124.24147,v01,es,,,,Comayagua,14.55217411,-87.69014065
Intibuca,,,,HN10,Honduras,,,,HN,05/10/16,,3127.975762,v01,es,,,,Intibuca,14.25591359,-88.21602175
Francisco Morazan,,,,HN08,Honduras,,,,HN,05/10/16,,8587.555416,v01,es,,,,Francisco Morazan,14.34324595,-87.11386519
Ocotepeque,,,,HN14,Honduras,,,,HN,05/10/16,,1635.47883,v01,es,,,,Ocotepeque,14.47596659,-89.03738133
La Paz,,,,HN12,Honduras,,,,HN,05/10/16,,2535.952914,v01,es,,,,La Paz,14.12862474,-87.96162651
El Paraiso,,,,HN07,Honduras,,,,HN,05/10/16,,7388.857171,v01,es,,,,El Paraiso,13.962084,-86.56275488
Valle,,,,HN17,Honduras,,,,HN,05/10/16,,1619.725036,v01,es,,,,Valle,13.59778925,-87.59644572
Choluteca,,,,HN06,Honduras,,,,HN,05/10/16,,4401.50389,v01,es,,,,Choluteca,13.37120575,-87.04869033
Gracias a Dios,,,,HN09,Honduras,,,,HN,05/10/16,,16147.58472,v01,es,,,,Gracias a Dios,15.29859428,-84.511294
