StationName ,County,BeginGageServiceDate,EndGageServiceDate,TotalPrecipitation_inches,WaterYear,Notes_FlaggedResults,x_coord,y_coord
Ball Mountain,Tehama,9/26/1950,6/7/1951,39.51,1951,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/7/1951,9/10/1952,42.65,1952,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/10/1952,7/23/1953,44.09,1953,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/23/1953,7/13/1954,41.92,1954,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/13/1954,7/28/1955,28.42,1955,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/28/1955,7/23/1956,58.65,1956,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/23/1956,7/30/1957,30.18,1957,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/30/1957,7/8/1958,64.4,1958,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/8/1958,7/8/1959,29.02,1959,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/8/1959,7/20/1960,37,1960,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/20/1960,7/19/1961,32.17,1961,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/19/1961,8/1/1962,36.37,1962,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/1/1962,7/27/1963,47.55,1963,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/27/1963,7/20/1964,27.71,1964,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/20/1964,7/1/1965,58.26,1965,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/1/1965,6/29/1966,36.55,1966,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/29/1966,7/10/1967,49.57,1967,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/10/1967,8/15/1968,39.84,1968,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/15/1968,7/24/1969,82.22,1969,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/24/1969,7/7/1970,47.58,1970,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/7/1970,8/26/1971,51.18,1971,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/26/1971,7/25/1972,32.28,1972,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/25/1972,6/14/1973,52.48,1973,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/14/1973,6/11/1974,65.24,1974,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/11/1974,6/6/1975,51.12,1975,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/6/1975,7/27/1976,25.03,1976,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/27/1976,6/14/1977,23.27,1977,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/14/1977,6/19/1978,,1978,No data,-122.7809112,39.93636855
Ball Mountain,Tehama,6/19/1978,6/13/1979,26.11,1979,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/13/1979,6/13/1980,47.3,1980,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/13/1980,7/16/1981,31.8,1981,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/16/1981,8/3/1982,61.45,1982,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/3/1982,8/10/1983,94.95,1983,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/10/1983,7/12/1984,,1984,No data,-122.7809112,39.93636855
Ball Mountain,Tehama,7/12/1984,6/10/1985,34.8,1985,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/10/1985,6/13/1986,49.53,1986,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/13/1986,6/18/1987,28.65,1987,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/18/1987,7/6/1988,35.3,1988,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/6/1988,6/8/1989,34.8,1989,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/8/1989,6/8/1990,27.45,1990,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/8/1990,6/3/1991,20.7,1991,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/3/1991,7/1/1992,36.99,1992,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/1/1992,6/8/1993,60.54,1993,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/8/1993,5/23/1994,22.5,1994,,-122.7809112,39.93636855
Ball Mountain,Tehama,5/23/1994,7/13/1995,64.85,1995,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/13/1995,7/31/1996,43.1,1996,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/31/1996,8/29/1997,37.55,1997,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/29/1997,7/2/1998,82.05,1998,,-122.7809112,39.93636855
Ball Mountain,Tehama,7/2/1998,6/22/1999,27.9,1999,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/22/1999,8/3/2000,36.55,2000,,-122.7809112,39.93636855
Ball Mountain,Tehama,8/3/2000,6/15/2001,28.7,2001,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/15/2001,6/27/2002,29.25,2002,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/27/2002,6/29/2003,42.32,2003,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/29/2003,6/9/2004,31.93,2004,,-122.7809112,39.93636855
Ball Mountain,Tehama,6/9/2004,9/27/2005,41.8,2005,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/27/2005,9/15/2006,55.9,2006,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/15/2006,9/18/2007,20.65,2007,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/18/2007,9/4/2008,29.28,2008,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/4/2008,9/17/2009,18.4,2009,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/17/2009,9/21/2010,39.31,2010,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/21/2010,8/23/2011,,2011,"Station Vandalized, Repaired and recharged on 09/14/11",-122.7809112,39.93636855
Ball Mountain,Tehama,8/23/2011,9/10/2012,20.36,2012,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/10/2012,9/3/2013,22.73,2013,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/3/2013,9/18/2014,12.75,2014,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/18/2014,9/8/2015,23.35,2015,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/8/2015,9/7/2016,29.59,2016,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/7/2016,9/19/2017,44.47,2017,,-122.7809112,39.93636855
Ball Mountain,Tehama,9/19/2017,8/30/2018,20.06,2018,,-122.7809112,39.93636855
