adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
Boaco,,,,NI50,Nicaragua,,,,NI,27/11/23,,4175.548008,v02,es,,,,Boaco,12.43176695,-85.57554468
Carazo,,,,NI75,Nicaragua,,,,NI,27/11/23,,1096.306772,v02,es,,,,Carazo,11.73632146,-86.27009094
Chinandega,,,,NI30,Nicaragua,,,,NI,27/11/23,,4736.788773,v02,es,,,,Chinandega,12.8848673,-86.92403329
Chontales,,,,NI65,Nicaragua,,,,NI,27/11/23,,6417.328982,v02,es,,,,Chontales,12.1363847,-85.19911104
Estelí,,,,NI25,Nicaragua,,,,NI,27/11/23,,2278.074252,v02,es,,,,Esteli,13.14561499,-86.47148337
Granada,,,,NI70,Nicaragua,,,,NI,27/11/23,,1061.608459,v02,es,,,,Granada,11.90892631,-85.95662779
Jinotega,,,,NI10,Nicaragua,,,,NI,27/11/23,,9302.660816,v02,es,,,,Jinotega,13.80390725,-85.39444572
León,,,,NI35,Nicaragua,,,,NI,27/11/23,,5076.396243,v02,es,,,,Leon,12.55836808,-86.647487
Madriz,,,,NI20,Nicaragua,,,,NI,27/11/23,,1743.42451,v02,es,,,,Madriz,13.4269334,-86.40323028
Managua,,,,NI55,Nicaragua,,,,NI,27/11/23,,3482.163574,v02,es,,,,Managua,12.18104584,-86.03022392
Masaya,,,,NI60,Nicaragua,,,,NI,27/11/23,,625.5810439,v02,es,,,,Masaya,11.99386246,-86.08837811
Matagalpa,,,,NI40,Nicaragua,,,,NI,27/11/23,,6839.678974,v02,es,,,,Matagalpa,12.94004286,-85.69628301
Nueva Segovia,,,,NI05,Nicaragua,,,,NI,27/11/23,,3455.337175,v02,es,,,,Nueva Segovia,13.77187296,-86.059078
Región Autónoma Costa Caribe Norte,,,,NI91,Nicaragua,,,,NI,27/11/23,,32252.36829,v02,es,,,,Region Autonoma Costa Caribe Norte,14.02541823,-84.13273081
Región Autónoma de la Costa Caribe Sur,,,,NI93,Nicaragua,,,,NI,27/11/23,,26808.28109,v02,es,,,,Region Autonoma de la Costa Caribe Sur,12.17363553,-84.30565035
Río San Juan,,,,NI85,Nicaragua,,,,NI,27/11/23,,7531.808792,v02,es,,,,Rio San Juan,11.29460379,-84.58618713
Rivas,,,,NI80,Nicaragua,,,,NI,27/11/23,,2165.367127,v02,es,,,,Rivas,11.37216468,-85.8820566
