adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
Ahuachapán,,,,SV01,El Salvador,,,,SV,19/08/24,,1224.707239,v02,es,,,,Ahuachapan,13.8630538,-89.92977043
Cabañas,,,,SV02,El Salvador,,,,SV,19/08/24,,1091.095974,v02,es,,,,Cabanas,13.87863398,-88.74183285
Chalatenango,,,,SV03,El Salvador,,,,SV,19/08/24,,1948.672877,v02,es,,,,Chalatenango,14.16256952,-89.11127021
Cuscatlán,,,,SV04,El Salvador,,,,SV,19/08/24,,678.1237696,v02,es,,,,Cuscatlan,13.84516716,-89.05174749
La Libertad,,,,SV05,El Salvador,,,,SV,19/08/24,,1631.439676,v02,es,,,,La Libertad,13.74009657,-89.36233394
La Paz,,,,SV06,El Salvador,,,,SV,19/08/24,,1175.20553,v02,es,,,,La Paz,13.46227312,-88.97659036
La Unión,,,,SV07,El Salvador,,,,SV,19/08/24,,1989.120158,v02,es,,,,La Union,13.52484703,-87.90648895
Morazán,,,,SV08,El Salvador,,,,SV,19/08/24,,1257.068298,v02,es,,,,Morazan,13.7630806,-88.09336387
San Miguel,,,,SV09,El Salvador,,,,SV,19/08/24,,2073.16483,v02,es,,,,San Miguel,13.52909803,-88.1984743
San Salvador,,,,SV10,El Salvador,,,,SV,19/08/24,,923.7423839,v02,es,,,,San Salvador,13.76285029,-89.15696483
San Vicente,,,,SV11,El Salvador,,,,SV,19/08/24,,1208.897708,v02,es,,,,San Vicente,13.51473856,-88.73905865
Santa Ana,,,,SV12,El Salvador,,,,SV,19/08/24,,2048.730884,v02,es,,,,Santa Ana,14.11139393,-89.56382706
Sonsonate,,,,SV13,El Salvador,,,,SV,19/08/24,,1195.751326,v02,es,,,,Sonsonate,13.7120986,-89.64652514
Usulután,,,,SV14,El Salvador,,,,SV,19/08/24,,1977.022852,v02,es,,,,Usulutan,13.42596865,-88.53350471
